society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
Ireo Skyon,212.0,15531.0,2.0,2.0,2.0,2.0,North-East,Relatively New,2, Sector 60 Gurgaon,12.0,0,0,1,0,1300.0,1350.0,1365.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,2,0.0136501191166054
Umang Winter Hills,105.0,5762.0,3.0,3.0,3.0,7.0,East,Relatively New,3, Sector 77 Gurgaon,18.0,0,0,0,0,1400.0,1600.0,1822.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182228392919125
SS The Leaf,165.0,6852.0,3.0,4.0,3.0,9.0,,New Property,3, Sector 85 Gurgaon,26.0,0,0,1,0,,,2408.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240805604203152
Alpha Corp GurgaonOne ,150.0,7641.0,3.0,3.0,3.0,20.0,North-West,Relatively New,3, Sector 84 Gurgaon,26.0,1,0,0,0,1700.0,,1963.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,22,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,2,0.0196309383588535
MM Merlin,340.0,14418.0,3.0,4.0,3.0,16.0,West,Relatively New,3, Sector 67 Gurgaon,21.0,1,0,0,0,,,2358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5,4,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.0235816340685254
MM Merlin,350.0,14843.0,3.0,4.0,3.0,15.0,South,Relatively New,3, Sector 67 Gurgaon,21.0,1,0,0,0,,,2358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6,4,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.0235801387859597
Ireo Victory Valley,315.0,12846.0,3.0,4.0,3.0,15.0,South,Relatively New,3, Sector 67 Gurgaon,39.0,1,0,1,0,,,2452.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6,4,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,2,0.0245212517515179
DLF The Icon,525.0,20388.0,4.0,4.0,3.0,9.0,North,Old Property,4, DLF Phase 5,18.0,1,0,1,0,2560.0,2570.0,2575.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257504414361389
MM Merlin,278.0,13580.0,3.0,3.0,3.0,4.0,South-West,Relatively New,3, Sector 67 Gurgaon,21.0,0,0,1,0,,,2047.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5,4,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.0204712812960235
Ansal Heights,72.0,4500.0,3.0,3.0,3.0,9.0,South-West,Relatively New,3, Sector 92 Gurgaon,15.0,1,0,0,0,1600.0,1700.0,1935.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016
ProfeSS The Leafors Enclave CGHS,155.0,7750.0,3.0,3.0,3.0,6.0,East,Moderately Old,3, Sector 56 Gurgaon,9.0,1,0,0,0,,,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.02
Ansal Maple Heights,150.0,12658.0,3.0,3.0,3.0,7.0,North-East,Old Property,3, Sector 43 Gurgaon,14.0,0,0,0,1,1185.0,1385.0,1400.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4,3,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,2,0.0118502133038394
Ireo Victory Valley,305.0,16266.0,3.0,4.0,2.0,35.0,South-West,Relatively New,3, Sector 67 Gurgaon,51.0,1,1,0,0,1875.0,2200.0,2385.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,3,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,2,0.0187507684741177
Ireo The Grand Arch,383.0,21577.0,3.0,4.0,2.0,10.0,North-East,Relatively New,3, sector 58 Gurgaon,29.0,1,1,0,0,1775.0,2000.0,2164.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4,4,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0.017750382351578
MM Skywalk,225.0,13636.0,3.0,3.0,2.0,9.0,South,Relatively New,3, Sector 74 Gurgaon,30.0,1,0,0,0,1650.0,1938.0,2038.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0.0165004400117336
Vatika Gurgaon ,140.0,7179.0,4.0,4.0,3.0,10.0,North-East,Relatively New,4, Sector 83 Gurgaon,18.0,1,0,0,0,1950.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,14,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195013233040813
Experion Windchants,375.0,13383.0,3.0,5.0,3.0,22.0,South-West,Relatively New,3, Sector 112 Gurgaon,28.0,1,0,0,0,,,2802.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,2,0.0280206231786594
Capital Residences ,151.0,7641.0,3.0,3.0,3.0,7.0,South-East,Relatively New,3, Sector 70A Gurgaon,22.0,1,0,0,0,,,1976.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0197618112812459
Bestech Park View City,270.0,11713.0,3.0,3.0,3.0,7.0,North-East,Relatively New,3, Sector 48 Gurgaon,14.0,1,1,0,0,1700.0,2000.0,2305.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5,3,0,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,2,0.02305131050969
La Vida by Tata Housing,335.0,12444.0,4.0,4.0,3.0,11.0,North-East,Relatively New,4, Sector 113 Gurgaon,25.0,1,1,0,0,2692.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0269206043072966
Tulip Violet,150.0,10714.0,3.0,3.0,2.0,8.0,North-East,Relatively New,3, Sector 69 Gurgaon,14.0,0,0,1,0,1400.0,,1578.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0140003733432891
Bestech Park View Grand Spa,220.00000000000003,8270.0,3.0,4.0,3.0,8.0,East,Relatively New,3, Sector 81 Gurgaon,19.0,1,0,0,0,2300.0,,2660.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,4,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,2,0.026602176541717
DLF The Primus,255.0,11218.0,4.0,4.0,3.0,14.0,South-West,Relatively New,4, Sector 82A Gurgaon,32.0,0,0,0,0,1340.0,,2273.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,4,1,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0.0227313246568015
Signature Global Synera,45.0,7525.0,2.0,2.0,2.0,6.0,North-East,Relatively New,2, Sector 81 Gurgaon,14.0,0,0,0,1,598.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,14,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0.0059800664451827
Vatika Gurgaon ,118.0,6801.0,3.0,3.0,2.0,14.0,North,Relatively New,3, Sector 83 Gurgaon,18.0,0,0,0,0,1500.0,,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017350389648581
Alpha Corp GurgaonOne ,85.0,6692.0,2.0,2.0,3.0,6.0,West,Relatively New,2, Sector 84 Gurgaon,26.0,0,0,0,0,1050.0,,1270.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0.0127017334130304
Alpha Corp GurgaonOne ,149.0,7590.0,3.0,3.0,3.0,6.0,South-East,Relatively New,3, Sector 84 Gurgaon,26.0,1,0,0,0,1700.0,,1963.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019631093544137
Parsvnath Exotica,650.0,19174.0,4.0,5.0,3.0,10.0,South,Relatively New,4, Sector 53 Gurgaon,18.0,1,1,1,0,2500.0,3000.0,3390.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6,7,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,2,0.0339000730155418
Sare Homes,118.0,5207.0,4.0,4.0,3.0,8.0,North,Relatively New,4, Sector 92 Gurgaon,21.0,1,0,0,0,2266.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226618014211638
Sare Homes,80.0,5252.0,3.0,3.0,3.0,7.0,North-West,Relatively New,3, Sector 92 Gurgaon,21.0,0,1,0,0,1523.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0.0152322924600152
Vatika Gurgaon ,142.0,8875.0,4.0,4.0,3.0,7.0,South-West,Relatively New,4, Sector 83 Gurgaon,14.0,1,1,0,0,1600.0,2000.0,2390.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016
MM Golfestate,500.0,16666.0,3.0,3.0,3.0,2.0,East,Relatively New,3, Sector 65 Gurgaon,40.0,1,0,0,0,3000.0,3245.0,3246.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,0,1,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.0300012000480019
DLF The Skycourt,172.0,8916.0,3.0,3.0,1.0,8.0,North,Relatively New,3, Sector 86 Gurgaon,19.0,0,0,0,0,,,1929.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.019291161956034
Emaar Emerald Hills,195.0,13928.0,3.0,3.0,3.0,1.0,North-East,New Property,3, Sector 65 Gurgaon,2.0,0,0,0,1,1400.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,3,1,0,1,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0.0140005743825387
Mapsko Paradise,75.0,5597.0,3.0,3.0,3.0,10.0,North,New Property,3, Sector 83 Gurgaon,12.0,0,0,0,0,1000.0,,1340.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0.0134000357334286
BPTP Terra,172.0,7850.0,3.0,3.0,3.0,10.0,South-East,Relatively New,3, Sector 37D Gurgaon,23.0,1,0,0,0,,,2191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219108280254777
Adani MK Oyster Grande,250.0,7817.0,4.0,5.0,3.0,10.0,North-East,Relatively New,4, Sector 102 Gurgaon,24.0,1,0,1,0,2350.0,2600.0,3198.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0319815786107202
Emaar Imperial Gardens,170.0,8395.0,3.0,4.0,3.0,8.0,North-East,Relatively New,3, Sector 102 Gurgaon,14.0,1,0,1,0,1600.0,1750.0,2025.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0202501488981536
Unitech Fresco,114.0,8532.0,2.0,2.0,2.0,19.0,East,Moderately Old,2, Nirvana Country,19.0,0,0,0,0,1100.0,1330.0,1336.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4,2,0,0,1,2,0,0,1,3,1,0,0,0,0,0,0,0,2,0.0133614627285513
Ansal Maple Crescent,135.0,10037.0,3.0,3.0,3.0,2.0,South,Old Property,3, Sushant Lok Phase 1,13.0,0,0,0,0,1300.0,1320.0,1345.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,38,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.0134502341337052
Prime Habitat,27.1,6049.0,2.0,2.0,1.0,10.0,South,Relatively New,2, Sector 99A Gurgaon,12.0,0,0,0,0,448.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004480079351959
DLF New Town Heights ,140.0,5942.0,4.0,4.0,3.0,20.0,South-East,Relatively New,4, Sector 86 Gurgaon,22.0,1,0,1,0,,,2356.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023561090541905
DLF New Town Heights ,125.0,6476.0,3.0,4.0,3.0,2.0,South-West,Relatively New,3, Sector 86 Gurgaon,22.0,1,0,1,0,,,1930.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193020382952439
SS The Leaf,118.0,10727.0,2.0,2.0,3.0,9.0,North-East,Relatively New,2, Sector 85 Gurgaon,26.0,0,1,0,0,1100.0,1700.0,1741.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5,3,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0.0110002796681271
SS The Leaf,110.0,9565.0,2.0,2.0,3.0,10.0,West,Relatively New,2, Sector 85 Gurgaon,26.0,0,0,1,0,1150.0,1600.0,1640.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115002613695765
MM Woodshire,121.0,6227.0,3.0,3.0,3.0,7.0,East,Moderately Old,3, Sector 107 Gurgaon,14.0,0,0,0,0,1500.0,,1943.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0194315079492532
Indiabulls Enigma,345.0,10147.0,4.0,4.0,3.0,9.0,North,Moderately Old,4, Sector 110 Gurgaon,20.0,1,0,0,0,,,3400.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0340001971025918
Shapoorji Pallonji Joyville Gurugram,195.0,10529.0,3.0,3.0,3.0,10.0,North-East,Relatively New,3, Sector 102 Gurgaon,26.0,0,0,0,0,,,1852.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018520277329281
Puri Diplomatic Greens,365.0,12372.0,4.0,5.0,3.0,17.0,West,Moderately Old,4, Sector 111 Gurgaon,21.0,1,0,0,0,,,2950.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0295021015195602
DLF Regency Park ,230.0,11817.0,3.0,3.0,3.0,7.0,North-East,Moderately Old,3, DLF Phase 4,21.0,1,0,0,0,,1777.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.0194634848100194
Emaar MGF The Palm Drive,340.0,15454.0,3.0,4.0,3.0,9.0,East,Relatively New,3, Sector 66 Gurgaon,17.0,1,0,0,1,,,2200.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,4,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0.022000776497994
Eldeco Accolade,114.0,6530.0,3.0,3.0,3.0,4.0,East,Relatively New,3, Sohna,18.0,0,0,0,0,1062.0,,1751.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0174578866768759
Eldeco Accolade,95.75,6571.0,2.0,2.0,3.0,14.0,East,Relatively New,2, Sohna,18.0,0,1,0,0,849.0,,1457.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0145716024958149
La Vida by Tata Housing,305.0,15561.0,3.0,4.0,3.0,3.0,North-West,Relatively New,3, Sector 113 Gurgaon,25.0,1,0,0,0,1960.0,2150.0,2690.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0196002827581774
La Vida by Tata Housing,235.0,13352.0,3.0,4.0,3.0,3.0,West,Relatively New,3, Sector 113 Gurgaon,25.0,1,0,0,0,1760.0,1930.0,2217.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0176003594967046
Pareena Coban Residences,105.0,6774.0,2.0,2.0,3.0,2.0,East,Relatively New,2, Sector 99A Gurgaon,20.0,0,1,0,0,1240.0,1390.0,1550.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0155004428697962
Pareena Coban Residences,102.0,8793.0,2.0,2.0,3.0,3.0,North,Relatively New,2, Sector 99A Gurgaon,20.0,0,1,0,0,1160.0,1430.0,1550.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0116001364721937
