society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
Godrej,95.0,6859.0,2.0,2.0,3.0,3.0,South-East,Under Construction,2, Sector 33 Gurgaon,20.0,0,0,0,0,,,1385.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138504155124653
Shree Vardhman Flora,70.0,5384.0,2.0,2.0,3.0,13.0,,New Property,2, Sector 90 Gurgaon,13.0,0,1,0,0,,,1300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013001485884101
Sobha City,395.0,16859.0,4.0,5.0,3.0,25.0,,Undefined,4, Sector 108 Gurgaon,25.0,0,0,0,0,2300.0,2343.0,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234296221602704
Senate Court,90.0,14084.0,1.0,1.0,0.0,0.0,,Undefined,1, Sector 62 Gurgaon,1.0,0,0,0,0,,639.0,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063902300482817
Shapoorji Pallonji Joyville Gurugram,105.0,11475.0,2.0,2.0,2.0,0.0,,Under Construction,2, Sector 102 Gurgaon,14.0,0,0,0,0,915.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091503267973856
Signature Global Orchard Avenue ,,,2.0,2.0,3.0,11.0,East,Under Construction,2, Sector 93 Gurgaon,14.0,0,0,0,0,577.11,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central Park Flower Valley,220.00000000000003,10476.0,3.0,3.0,3.0,12.0,North-East,New Property,3, Sector-33 Sohna,13.0,1,0,0,0,,,2100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.021000381825124
Smart World Gems,101.0,9156.0,2.0,2.0,2.0,4.0,,Under Construction,2, Sector 89 Gurgaon,4.0,0,1,0,0,1103.0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110310179117518
Bestech Altura,185.0,8604.0,3.0,4.0,3.0,11.0,North,New Property,3, Sector 79 Gurgaon,22.0,1,0,0,0,,,2150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0215016271501627
Smart World Gems,86.0,7796.0,2.0,3.0,3.0,4.0,,Under Construction,2, Sector 89 Gurgaon,4.0,0,0,0,0,,,1103.0,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110312981015905
Emaar Imperial Gardens,185.0,9135.0,3.0,3.0,3.0,0.0,South-West,Relatively New,3, Sector 102 Gurgaon,14.0,1,0,0,0,2025.0,,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0202517788724685
